doc_id,title,department,year,region,text
D029,"Document Title D029 (hr)",hr,2026,asia_pacific,"This is the body text of document D029 in department hr for region asia_pacific and year 2026."
D030,"Document Title D030 (finance)",finance,2021,europe,"This is the body text of document D030 in department finance for region europe and year 2021."
D031,"Document Title D031 (finance)",finance,2026,asia_pacific,"This is the body text of document D031 in department finance for region asia_pacific and year 2026."
D032,"Document Title D032 (legal)",legal,2021,north_america,"This is the body text of document D032 in department legal for region north_america and year 2021."
D033,"Document Title D033 (sales)",sales,2020,asia_pacific,"This is the body text of document D033 in department sales for region asia_pacific and year 2020."
D034,"Document Title D034 (hr)",hr,2025,asia_pacific,"This is the body text of document D034 in department hr for region asia_pacific and year 2025."
D035,"Document Title D035 (marketing)",marketing,2025,north_america,"This is the body text of document D035 in department marketing for region north_america and year 2025."
D036,"Document Title D036 (hr)",hr,2022,latin_america,"This is the body text of document D036 in department hr for region latin_america and year 2022."
D037,"Document Title D037 (sales)",sales,2020,latin_america,"This is the body text of document D037 in department sales for region latin_america and year 2020."
D038,"Document Title D038 (sales)",sales,2020,latin_america,"This is the body text of document D038 in department sales for region latin_america and year 2020."
D039,"Document Title D039 (sales)",sales,2024,asia_pacific,"This is the body text of document D039 in department sales for region asia_pacific and year 2024."
D040,"Document Title D040 (legal)",legal,2026,north_america,"This is the body text of document D040 in department legal for region north_america and year 2026."
D041,"Document Title D041 (marketing)",marketing,2024,north_america,"This is the body text of document D041 in department marketing for region north_america and year 2024."
D042,"Document Title D042 (legal)",legal,2023,latin_america,"This is the body text of document D042 in department legal for region latin_america and year 2023."
D043,"Document Title D043 (sales)",sales,2026,north_america,"This is the body text of document D043 in department sales for region north_america and year 2026."
D044,"Document Title D044 (sales)",sales,2021,asia_pacific,"This is the body text of document D044 in department sales for region asia_pacific and year 2021."
D045,"Document Title D045 (sales)",sales,2023,europe,"This is the body text of document D045 in department sales for region europe and year 2023."
D046,"Document Title D046 (finance)",finance,2022,asia_pacific,"This is the body text of document D046 in department finance for region asia_pacific and year 2022."
D047,"Document Title D047 (engineering)",engineering,2025,europe,"This is the body text of document D047 in department engineering for region europe and year 2025."
D048,"Document Title D048 (engineering)",engineering,2026,latin_america,"This is the body text of document D048 in department engineering for region latin_america and year 2026."
D049,"Document Title D049 (sales)",sales,2020,latin_america,"This is the body text of document D049 in department sales for region latin_america and year 2020."
D050,"Document Title D050 (marketing)",marketing,2024,latin_america,"This is the body text of document D050 in department marketing for region latin_america and year 2024."
D051,"Document Title D051 (engineering)",engineering,2023,latin_america,"This is the body text of document D051 in department engineering for region latin_america and year 2023."
D052,"Document Title D052 (sales)",sales,2020,asia_pacific,"This is the body text of document D052 in department sales for region asia_pacific and year 2020."
D053,"Document Title D053 (legal)",legal,2025,latin_america,"This is the body text of document D053 in department legal for region latin_america and year 2025."
D054,"Document Title D054 (hr)",hr,2025,asia_pacific,"This is the body text of document D054 in department hr for region asia_pacific and year 2025."
D055,"Document Title D055 (legal)",legal,2021,north_america,"This is the body text of document D055 in department legal for region north_america and year 2021."
D056,"Document Title D056 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D056 in department marketing for region asia_pacific and year 2024."
D057,"Document Title D057 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D057 in department engineering for region asia_pacific and year 2021."
D058,"Document Title D058 (marketing)",marketing,2024,latin_america,"This is the body text of document D058 in department marketing for region latin_america and year 2024."
D059,"Document Title D059 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D059 in department marketing for region asia_pacific and year 2024."
D060,"Document Title D060 (finance)",finance,2023,latin_america,"This is the body text of document D060 in department finance for region latin_america and year 2023."
D061,"Document Title D061 (legal)",legal,2024,europe,"This is the body text of document D061 in department legal for region europe and year 2024."
D062,"Document Title D062 (marketing)",marketing,2021,north_america,"This is the body text of document D062 in department marketing for region north_america and year 2021."
D063,"Document Title D063 (marketing)",marketing,2026,latin_america,"This is the body text of document D063 in department marketing for region latin_america and year 2026."
D064,"Document Title D064 (marketing)",marketing,2026,europe,"This is the body text of document D064 in department marketing for region europe and year 2026."
D065,"Document Title D065 (hr)",hr,2021,latin_america,"This is the body text of document D065 in department hr for region latin_america and year 2021."
D066,"Document Title D066 (engineering)",engineering,2023,north_america,"This is the body text of document D066 in department engineering for region north_america and year 2023."
D067,"Document Title D067 (legal)",legal,2022,latin_america,"This is the body text of document D067 in department legal for region latin_america and year 2022."
D068,"Document Title D068 (hr)",hr,2022,europe,"This is the body text of document D068 in department hr for region europe and year 2022."
D069,"Document Title D069 (hr)",hr,2022,asia_pacific,"This is the body text of document D069 in department hr for region asia_pacific and year 2022."
D070,"Document Title D070 (sales)",sales,2024,europe,"This is the body text of document D070 in department sales for region europe and year 2024."
D071,"Document Title D071 (legal)",legal,2021,europe,"This is the body text of document D071 in department legal for region europe and year 2021."
D072,"Document Title D072 (finance)",finance,2026,europe,"This is the body text of document D072 in department finance for region europe and year 2026."
D073,"Document Title D073 (sales)",sales,2025,latin_america,"This is the body text of document D073 in department sales for region latin_america and year 2025."
D074,"Document Title D074 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D074 in department engineering for region asia_pacific and year 2022."
D075,"Document Title D075 (hr)",hr,2022,asia_pacific,"This is the body text of document D075 in department hr for region asia_pacific and year 2022."
D076,"Document Title D076 (legal)",legal,2026,latin_america,"This is the body text of document D076 in department legal for region latin_america and year 2026."
D077,"Document Title D077 (engineering)",engineering,2021,north_america,"This is the body text of document D077 in department engineering for region north_america and year 2021."
D078,"Document Title D078 (engineering)",engineering,2026,north_america,"This is the body text of document D078 in department engineering for region north_america and year 2026."
D079,"Document Title D079 (sales)",sales,2026,latin_america,"This is the body text of document D079 in department sales for region latin_america and year 2026."
D080,"Document Title D080 (sales)",sales,2020,asia_pacific,"This is the body text of document D080 in department sales for region asia_pacific and year 2020."
D081,"Document Title D081 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D081 in department marketing for region asia_pacific and year 2023."
D082,"Document Title D082 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D082 in department engineering for region asia_pacific and year 2020."
D083,"Document Title D083 (hr)",hr,2024,asia_pacific,"This is the body text of document D083 in department hr for region asia_pacific and year 2024."
D084,"Document Title D084 (marketing)",marketing,2024,europe,"This is the body text of document D084 in department marketing for region europe and year 2024."
D085,"Document Title D085 (engineering)",engineering,2025,north_america,"This is the body text of document D085 in department engineering for region north_america and year 2025."
D086,"Document Title D086 (hr)",hr,2025,latin_america,"This is the body text of document D086 in department hr for region latin_america and year 2025."
D087,"Document Title D087 (marketing)",marketing,2021,europe,"This is the body text of document D087 in department marketing for region europe and year 2021."
D088,"Document Title D088 (engineering)",engineering,2026,asia_pacific,"This is the body text of document D088 in department engineering for region asia_pacific and year 2026."
D089,"Document Title D089 (finance)",finance,2025,europe,"This is the body text of document D089 in department finance for region europe and year 2025."
D090,"Document Title D090 (finance)",finance,2023,asia_pacific,"This is the body text of document D090 in department finance for region asia_pacific and year 2023."
D091,"Document Title D091 (legal)",legal,2022,north_america,"This is the body text of document D091 in department legal for region north_america and year 2022."
D092,"Document Title D092 (sales)",sales,2024,europe,"This is the body text of document D092 in department sales for region europe and year 2024."
D093,"Document Title D093 (hr)",hr,2026,europe,"This is the body text of document D093 in department hr for region europe and year 2026."
D094,"Document Title D094 (hr)",hr,2026,latin_america,"This is the body text of document D094 in department hr for region latin_america and year 2026."
D095,"Document Title D095 (legal)",legal,2024,europe,"This is the body text of document D095 in department legal for region europe and year 2024."
D096,"Document Title D096 (engineering)",engineering,2024,latin_america,"This is the body text of document D096 in department engineering for region latin_america and year 2024."
D097,"Document Title D097 (legal)",legal,2020,latin_america,"This is the body text of document D097 in department legal for region latin_america and year 2020."
D098,"Document Title D098 (sales)",sales,2026,europe,"This is the body text of document D098 in department sales for region europe and year 2026."
D099,"Document Title D099 (legal)",legal,2022,europe,"This is the body text of document D099 in department legal for region europe and year 2022."
D100,"Document Title D100 (legal)",legal,2022,north_america,"This is the body text of document D100 in department legal for region north_america and year 2022."
D101,"Document Title D101 (legal)",legal,2026,europe,"This is the body text of document D101 in department legal for region europe and year 2026."
D102,"Document Title D102 (finance)",finance,2022,north_america,"This is the body text of document D102 in department finance for region north_america and year 2022."
D103,"Document Title D103 (engineering)",engineering,2020,latin_america,"This is the body text of document D103 in department engineering for region latin_america and year 2020."
D104,"Document Title D104 (hr)",hr,2025,latin_america,"This is the body text of document D104 in department hr for region latin_america and year 2025."
D105,"Document Title D105 (sales)",sales,2020,europe,"This is the body text of document D105 in department sales for region europe and year 2020."
D106,"Document Title D106 (engineering)",engineering,2026,north_america,"This is the body text of document D106 in department engineering for region north_america and year 2026."
D107,"Document Title D107 (marketing)",marketing,2023,north_america,"This is the body text of document D107 in department marketing for region north_america and year 2023."
D108,"Document Title D108 (legal)",legal,2022,europe,"This is the body text of document D108 in department legal for region europe and year 2022."
D109,"Document Title D109 (hr)",hr,2021,latin_america,"This is the body text of document D109 in department hr for region latin_america and year 2021."
D110,"Document Title D110 (legal)",legal,2026,europe,"This is the body text of document D110 in department legal for region europe and year 2026."
D111,"Document Title D111 (finance)",finance,2025,asia_pacific,"This is the body text of document D111 in department finance for region asia_pacific and year 2025."
D112,"Document Title D112 (finance)",finance,2022,asia_pacific,"This is the body text of document D112 in department finance for region asia_pacific and year 2022."
D113,"Document Title D113 (sales)",sales,2025,north_america,"This is the body text of document D113 in department sales for region north_america and year 2025."
D114,"Document Title D114 (finance)",finance,2025,europe,"This is the body text of document D114 in department finance for region europe and year 2025."
D115,"Document Title D115 (sales)",sales,2025,latin_america,"This is the body text of document D115 in department sales for region latin_america and year 2025."
D116,"Document Title D116 (finance)",finance,2020,north_america,"This is the body text of document D116 in department finance for region north_america and year 2020."
D117,"Document Title D117 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D117 in department engineering for region asia_pacific and year 2024."
D118,"Document Title D118 (legal)",legal,2022,europe,"This is the body text of document D118 in department legal for region europe and year 2022."
D119,"Document Title D119 (hr)",hr,2025,latin_america,"This is the body text of document D119 in department hr for region latin_america and year 2025."
D120,"Document Title D120 (sales)",sales,2020,asia_pacific,"This is the body text of document D120 in department sales for region asia_pacific and year 2020."
D121,"Document Title D121 (hr)",hr,2025,europe,"This is the body text of document D121 in department hr for region europe and year 2025."
D122,"Document Title D122 (sales)",sales,2024,asia_pacific,"This is the body text of document D122 in department sales for region asia_pacific and year 2024."
D123,"Document Title D123 (marketing)",marketing,2023,europe,"This is the body text of document D123 in department marketing for region europe and year 2023."
D124,"Document Title D124 (legal)",legal,2026,asia_pacific,"This is the body text of document D124 in department legal for region asia_pacific and year 2026."
D125,"Document Title D125 (hr)",hr,2025,north_america,"This is the body text of document D125 in department hr for region north_america and year 2025."
D126,"Document Title D126 (sales)",sales,2023,europe,"This is the body text of document D126 in department sales for region europe and year 2023."
D127,"Document Title D127 (finance)",finance,2024,europe,"This is the body text of document D127 in department finance for region europe and year 2024."
D128,"Document Title D128 (sales)",sales,2022,latin_america,"This is the body text of document D128 in department sales for region latin_america and year 2022."
D129,"Document Title D129 (legal)",legal,2020,north_america,"This is the body text of document D129 in department legal for region north_america and year 2020."
D130,"Document Title D130 (engineering)",engineering,2021,europe,"This is the body text of document D130 in department engineering for region europe and year 2021."
D131,"Document Title D131 (finance)",finance,2026,europe,"This is the body text of document D131 in department finance for region europe and year 2026."
D132,"Document Title D132 (hr)",hr,2020,latin_america,"This is the body text of document D132 in department hr for region latin_america and year 2020."
D133,"Document Title D133 (finance)",finance,2024,latin_america,"This is the body text of document D133 in department finance for region latin_america and year 2024."
D134,"Document Title D134 (finance)",finance,2020,north_america,"This is the body text of document D134 in department finance for region north_america and year 2020."
D135,"Document Title D135 (marketing)",marketing,2021,europe,"This is the body text of document D135 in department marketing for region europe and year 2021."
D136,"Document Title D136 (engineering)",engineering,2023,latin_america,"This is the body text of document D136 in department engineering for region latin_america and year 2023."
D137,"Document Title D137 (hr)",hr,2022,europe,"This is the body text of document D137 in department hr for region europe and year 2022."
D138,"Document Title D138 (sales)",sales,2025,asia_pacific,"This is the body text of document D138 in department sales for region asia_pacific and year 2025."
D139,"Document Title D139 (sales)",sales,2024,latin_america,"This is the body text of document D139 in department sales for region latin_america and year 2024."
D140,"Document Title D140 (hr)",hr,2023,north_america,"This is the body text of document D140 in department hr for region north_america and year 2023."
D141,"Document Title D141 (engineering)",engineering,2022,europe,"This is the body text of document D141 in department engineering for region europe and year 2022."
D142,"Document Title D142 (finance)",finance,2021,north_america,"This is the body text of document D142 in department finance for region north_america and year 2021."
D143,"Document Title D143 (legal)",legal,2021,europe,"This is the body text of document D143 in department legal for region europe and year 2021."
D144,"Document Title D144 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D144 in department marketing for region asia_pacific and year 2024."
D145,"Document Title D145 (sales)",sales,2022,asia_pacific,"This is the body text of document D145 in department sales for region asia_pacific and year 2022."
D146,"Document Title D146 (sales)",sales,2021,latin_america,"This is the body text of document D146 in department sales for region latin_america and year 2021."
D147,"Document Title D147 (finance)",finance,2022,europe,"This is the body text of document D147 in department finance for region europe and year 2022."
D148,"Document Title D148 (marketing)",marketing,2025,latin_america,"This is the body text of document D148 in department marketing for region latin_america and year 2025."
D149,"Document Title D149 (legal)",legal,2024,latin_america,"This is the body text of document D149 in department legal for region latin_america and year 2024."
D150,"Document Title D150 (engineering)",engineering,2025,latin_america,"This is the body text of document D150 in department engineering for region latin_america and year 2025."
D151,"Document Title D151 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D151 in department marketing for region asia_pacific and year 2020."
D152,"Document Title D152 (sales)",sales,2021,europe,"This is the body text of document D152 in department sales for region europe and year 2021."
D153,"Document Title D153 (engineering)",engineering,2020,north_america,"This is the body text of document D153 in department engineering for region north_america and year 2020."
D154,"Document Title D154 (finance)",finance,2025,latin_america,"This is the body text of document D154 in department finance for region latin_america and year 2025."
D155,"Document Title D155 (sales)",sales,2022,north_america,"This is the body text of document D155 in department sales for region north_america and year 2022."
D156,"Document Title D156 (engineering)",engineering,2020,europe,"This is the body text of document D156 in department engineering for region europe and year 2020."
D157,"Document Title D157 (marketing)",marketing,2023,north_america,"This is the body text of document D157 in department marketing for region north_america and year 2023."
D158,"Document Title D158 (finance)",finance,2024,asia_pacific,"This is the body text of document D158 in department finance for region asia_pacific and year 2024."
D159,"Document Title D159 (sales)",sales,2026,asia_pacific,"This is the body text of document D159 in department sales for region asia_pacific and year 2026."
D160,"Document Title D160 (engineering)",engineering,2023,europe,"This is the body text of document D160 in department engineering for region europe and year 2023."
D161,"Document Title D161 (legal)",legal,2025,asia_pacific,"This is the body text of document D161 in department legal for region asia_pacific and year 2025."
D162,"Document Title D162 (sales)",sales,2022,north_america,"This is the body text of document D162 in department sales for region north_america and year 2022."
D163,"Document Title D163 (finance)",finance,2020,north_america,"This is the body text of document D163 in department finance for region north_america and year 2020."
D164,"Document Title D164 (sales)",sales,2022,europe,"This is the body text of document D164 in department sales for region europe and year 2022."
D165,"Document Title D165 (legal)",legal,2026,asia_pacific,"This is the body text of document D165 in department legal for region asia_pacific and year 2026."
D166,"Document Title D166 (finance)",finance,2020,north_america,"This is the body text of document D166 in department finance for region north_america and year 2020."
D167,"Document Title D167 (legal)",legal,2026,asia_pacific,"This is the body text of document D167 in department legal for region asia_pacific and year 2026."
D168,"Document Title D168 (finance)",finance,2022,europe,"This is the body text of document D168 in department finance for region europe and year 2022."
D169,"Document Title D169 (finance)",finance,2020,latin_america,"This is the body text of document D169 in department finance for region latin_america and year 2020."
D170,"Document Title D170 (legal)",legal,2021,latin_america,"This is the body text of document D170 in department legal for region latin_america and year 2021."
D171,"Document Title D171 (engineering)",engineering,2023,latin_america,"This is the body text of document D171 in department engineering for region latin_america and year 2023."
D172,"Document Title D172 (sales)",sales,2023,latin_america,"This is the body text of document D172 in department sales for region latin_america and year 2023."
D173,"Document Title D173 (marketing)",marketing,2026,asia_pacific,"This is the body text of document D173 in department marketing for region asia_pacific and year 2026."
D174,"Document Title D174 (hr)",hr,2024,europe,"This is the body text of document D174 in department hr for region europe and year 2024."
D175,"Document Title D175 (sales)",sales,2023,latin_america,"This is the body text of document D175 in department sales for region latin_america and year 2023."
D176,"Document Title D176 (legal)",legal,2022,asia_pacific,"This is the body text of document D176 in department legal for region asia_pacific and year 2022."
D177,"Document Title D177 (finance)",finance,2024,latin_america,"This is the body text of document D177 in department finance for region latin_america and year 2024."
D178,"Document Title D178 (marketing)",marketing,2021,europe,"This is the body text of document D178 in department marketing for region europe and year 2021."
D179,"Document Title D179 (sales)",sales,2021,europe,"This is the body text of document D179 in department sales for region europe and year 2021."
D180,"Document Title D180 (finance)",finance,2026,latin_america,"This is the body text of document D180 in department finance for region latin_america and year 2026."
D181,"Document Title D181 (marketing)",marketing,2026,north_america,"This is the body text of document D181 in department marketing for region north_america and year 2026."
D182,"Document Title D182 (engineering)",engineering,2024,north_america,"This is the body text of document D182 in department engineering for region north_america and year 2024."
D183,"Document Title D183 (hr)",hr,2020,asia_pacific,"This is the body text of document D183 in department hr for region asia_pacific and year 2020."
D184,"Document Title D184 (finance)",finance,2022,asia_pacific,"This is the body text of document D184 in department finance for region asia_pacific and year 2022."
D185,"Document Title D185 (legal)",legal,2021,asia_pacific,"This is the body text of document D185 in department legal for region asia_pacific and year 2021."
D186,"Document Title D186 (sales)",sales,2021,latin_america,"This is the body text of document D186 in department sales for region latin_america and year 2021."
D187,"Document Title D187 (sales)",sales,2020,north_america,"This is the body text of document D187 in department sales for region north_america and year 2020."
D188,"Document Title D188 (finance)",finance,2024,asia_pacific,"This is the body text of document D188 in department finance for region asia_pacific and year 2024."
D189,"Document Title D189 (hr)",hr,2022,north_america,"This is the body text of document D189 in department hr for region north_america and year 2022."
D190,"Document Title D190 (finance)",finance,2025,latin_america,"This is the body text of document D190 in department finance for region latin_america and year 2025."
D191,"Document Title D191 (legal)",legal,2024,latin_america,"This is the body text of document D191 in department legal for region latin_america and year 2024."
D192,"Document Title D192 (marketing)",marketing,2021,europe,"This is the body text of document D192 in department marketing for region europe and year 2021."
D193,"Document Title D193 (hr)",hr,2024,north_america,"This is the body text of document D193 in department hr for region north_america and year 2024."
D194,"Document Title D194 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D194 in department engineering for region asia_pacific and year 2024."
D195,"Document Title D195 (hr)",hr,2023,asia_pacific,"This is the body text of document D195 in department hr for region asia_pacific and year 2023."
D196,"Document Title D196 (sales)",sales,2025,asia_pacific,"This is the body text of document D196 in department sales for region asia_pacific and year 2025."
D197,"Document Title D197 (sales)",sales,2024,north_america,"This is the body text of document D197 in department sales for region north_america and year 2024."
D198,"Document Title D198 (engineering)",engineering,2021,north_america,"This is the body text of document D198 in department engineering for region north_america and year 2021."
D199,"Document Title D199 (engineering)",engineering,2022,north_america,"This is the body text of document D199 in department engineering for region north_america and year 2022."
D200,"Document Title D200 (finance)",finance,2024,north_america,"This is the body text of document D200 in department finance for region north_america and year 2024."
D201,"Document Title D201 (legal)",legal,2022,asia_pacific,"This is the body text of document D201 in department legal for region asia_pacific and year 2022."
D202,"Document Title D202 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D202 in department marketing for region asia_pacific and year 2023."
D203,"Document Title D203 (finance)",finance,2025,north_america,"This is the body text of document D203 in department finance for region north_america and year 2025."
D204,"Document Title D204 (engineering)",engineering,2026,asia_pacific,"This is the body text of document D204 in department engineering for region asia_pacific and year 2026."
D205,"Document Title D205 (sales)",sales,2022,latin_america,"This is the body text of document D205 in department sales for region latin_america and year 2022."
D206,"Document Title D206 (sales)",sales,2026,north_america,"This is the body text of document D206 in department sales for region north_america and year 2026."
D207,"Document Title D207 (marketing)",marketing,2022,latin_america,"This is the body text of document D207 in department marketing for region latin_america and year 2022."
D208,"Document Title D208 (finance)",finance,2020,latin_america,"This is the body text of document D208 in department finance for region latin_america and year 2020."
D209,"Document Title D209 (sales)",sales,2024,asia_pacific,"This is the body text of document D209 in department sales for region asia_pacific and year 2024."
D210,"Document Title D210 (engineering)",engineering,2022,europe,"This is the body text of document D210 in department engineering for region europe and year 2022."
D211,"Document Title D211 (hr)",hr,2022,europe,"This is the body text of document D211 in department hr for region europe and year 2022."
D212,"Document Title D212 (sales)",sales,2020,latin_america,"This is the body text of document D212 in department sales for region latin_america and year 2020."
D213,"Document Title D213 (hr)",hr,2022,europe,"This is the body text of document D213 in department hr for region europe and year 2022."
D214,"Document Title D214 (sales)",sales,2020,asia_pacific,"This is the body text of document D214 in department sales for region asia_pacific and year 2020."
D215,"Document Title D215 (legal)",legal,2020,latin_america,"This is the body text of document D215 in department legal for region latin_america and year 2020."
D216,"Document Title D216 (legal)",legal,2020,latin_america,"This is the body text of document D216 in department legal for region latin_america and year 2020."
D217,"Document Title D217 (hr)",hr,2023,europe,"This is the body text of document D217 in department hr for region europe and year 2023."
D218,"Document Title D218 (finance)",finance,2025,asia_pacific,"This is the body text of document D218 in department finance for region asia_pacific and year 2025."
D219,"Document Title D219 (engineering)",engineering,2025,north_america,"This is the body text of document D219 in department engineering for region north_america and year 2025."
D220,"Document Title D220 (hr)",hr,2020,europe,"This is the body text of document D220 in department hr for region europe and year 2020."
D221,"Document Title D221 (engineering)",engineering,2020,north_america,"This is the body text of document D221 in department engineering for region north_america and year 2020."
D222,"Document Title D222 (legal)",legal,2023,north_america,"This is the body text of document D222 in department legal for region north_america and year 2023."
D223,"Document Title D223 (legal)",legal,2021,europe,"This is the body text of document D223 in department legal for region europe and year 2021."
D224,"Document Title D224 (finance)",finance,2022,asia_pacific,"This is the body text of document D224 in department finance for region asia_pacific and year 2022."
D225,"Document Title D225 (sales)",sales,2025,north_america,"This is the body text of document D225 in department sales for region north_america and year 2025."
D226,"Document Title D226 (hr)",hr,2023,europe,"This is the body text of document D226 in department hr for region europe and year 2023."
D227,"Document Title D227 (hr)",hr,2024,latin_america,"This is the body text of document D227 in department hr for region latin_america and year 2024."
D228,"Document Title D228 (hr)",hr,2024,europe,"This is the body text of document D228 in department hr for region europe and year 2024."
D229,"Document Title D229 (sales)",sales,2024,europe,"This is the body text of document D229 in department sales for region europe and year 2024."
D230,"Document Title D230 (finance)",finance,2024,europe,"This is the body text of document D230 in department finance for region europe and year 2024."
D231,"Document Title D231 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D231 in department marketing for region asia_pacific and year 2024."
D232,"Document Title D232 (legal)",legal,2021,north_america,"This is the body text of document D232 in department legal for region north_america and year 2021."
D233,"Document Title D233 (marketing)",marketing,2021,north_america,"This is the body text of document D233 in department marketing for region north_america and year 2021."
D234,"Document Title D234 (finance)",finance,2024,north_america,"This is the body text of document D234 in department finance for region north_america and year 2024."
D235,"Document Title D235 (engineering)",engineering,2020,latin_america,"This is the body text of document D235 in department engineering for region latin_america and year 2020."
D236,"Document Title D236 (hr)",hr,2021,north_america,"This is the body text of document D236 in department hr for region north_america and year 2021."
D237,"Document Title D237 (hr)",hr,2023,latin_america,"This is the body text of document D237 in department hr for region latin_america and year 2023."
D238,"Document Title D238 (sales)",sales,2022,asia_pacific,"This is the body text of document D238 in department sales for region asia_pacific and year 2022."
D239,"Document Title D239 (sales)",sales,2022,latin_america,"This is the body text of document D239 in department sales for region latin_america and year 2022."
D240,"Document Title D240 (engineering)",engineering,2026,north_america,"This is the body text of document D240 in department engineering for region north_america and year 2026."
D241,"Document Title D241 (engineering)",engineering,2021,north_america,"This is the body text of document D241 in department engineering for region north_america and year 2021."
D242,"Document Title D242 (legal)",legal,2026,asia_pacific,"This is the body text of document D242 in department legal for region asia_pacific and year 2026."
D243,"Document Title D243 (finance)",finance,2024,asia_pacific,"This is the body text of document D243 in department finance for region asia_pacific and year 2024."
D244,"Document Title D244 (sales)",sales,2021,north_america,"This is the body text of document D244 in department sales for region north_america and year 2021."
D245,"Document Title D245 (hr)",hr,2022,north_america,"This is the body text of document D245 in department hr for region north_america and year 2022."
D246,"Document Title D246 (hr)",hr,2022,asia_pacific,"This is the body text of document D246 in department hr for region asia_pacific and year 2022."
D247,"Document Title D247 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D247 in department engineering for region asia_pacific and year 2020."
D248,"Document Title D248 (legal)",legal,2022,asia_pacific,"This is the body text of document D248 in department legal for region asia_pacific and year 2022."
D249,"Document Title D249 (hr)",hr,2023,asia_pacific,"This is the body text of document D249 in department hr for region asia_pacific and year 2023."
D250,"Document Title D250 (legal)",legal,2020,asia_pacific,"This is the body text of document D250 in department legal for region asia_pacific and year 2020."
D251,"Document Title D251 (finance)",finance,2025,europe,"This is the body text of document D251 in department finance for region europe and year 2025."
D252,"Document Title D252 (hr)",hr,2023,latin_america,"This is the body text of document D252 in department hr for region latin_america and year 2023."
